imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0104115,Invasori dalla IV dimensione,Doctor Mordrid,1992,1992-09-24,"Action, Fantasy, Horror",74,USA,"English, Latin","Albert Band, Charles Band","Charles Band, C. Courtney Joyner",Full Moon Entertainment,"Jeffrey Combs, Yvette Nipar, Jay Acovone, Keith Coulouris, Ritch Brinkley, Brian Thompson, Pearl Shear, Murray Rubin, Jeff Austin, John Apicella, Julie Michaels, Mark Phelan, Kenn Scott, Scott Roberts, Steven Marca","An unspeakable evil has come into our dimension and wants to rule over Earth, and only a mysterious sorceror known as Doctor Mordrid can stop him.",5.6,1327,$ 2000000,,,,22.0,42.0,26,doctor mordrid
tt0104322,Gau yat san diu haap lui,Gau yat san diu haap lui,1991,1991-12-19,"Action, Drama, Fantasy",92,Hong Kong,"Cantonese, Mandarin","David Lai, Corey Yuen","Jeffrey Lau, Kar-Wai Wong",Team Work Production House,"Andy Lau, Anita Mui, Aaron Kwok, Kenny Bee, Gloria Yip, Carina Lau, Joanna Chan, Kei-Mei Chan, Henry Fong, Fong Fong Poon, Wang Ban Poon, Matthew Wong, San Yip, Corey Yuen","A graying black-clad swordsman slays palace guards, as he flies through the air to an uncertain purpose. Centuries (or is it days?) later, gun-toting, Armani-clad super policemen -- Hong ...",6.0,656,,,,,13.0,15.0,30,gau yat san diu haap lui
tt0104522,Tir-na-nog: È vietato portare cavalli in città,Into the West,1992,1992-10-23,"Adventure, Family, Fantasy",97,"Ireland, UK",English,Mike Newell,"Jim Sheridan, David Keating",Channel Four Films,"Gabriel Byrne, Ellen Barkin, Ciarán Fitzgerald, Rúaidhrí Conroy, David Kelly, Johnny Murphy, Colm Meaney, John Kavanagh, Brendan Gleeson, Jim Norton, Anita Reeves, Ray McBride, Dave Duffy, Stuart Dannell-Foran, Becca Hollinshead","Grandpa Ward gives a horse he found to his grandchildren, who keep it in their tower-block flat in Dublin. The horse is stolen from them, and the two young boys set out to find it and flee on it.",7.0,2707,,$ 4790801,$ 4790801,71.0,32.0,15.0,39,into the west
tt0104559,Jipangu,Jipangu,1990,1990-01-27,"Action, Adventure, Fantasy",119,Japan,Japanese,Kaizô Hayashi,Kaizô Hayashi,EXE,"Masahiro Takashima, Narumi Yasuda, Bengal, Shirô Sano, Baiken Jukkanji, Teru, Masumi Nagasaki, Chiyonosuke Azuma, Mikio Narita, Kenya Sawada, Takuya Wada, Seigen Nakayama, Michiru Akiyoshi, Jian Xiu, Yukio Yamato",Jigoku is a samurai outlaw who is on the run with his motley bunch of followers. There's a bounty on his head with a cute female bounty hunter named Yuri The Pistol who's an ace gunslinger ...,5.8,262,,,,,9.0,9.0,37,jipangu
tt0104560,Jiu er shen diao zhi: Chi xin qing chang jian,Jiu er shen diao zhi: Chi xin qing chang jian,1992,1992-09-03,"Comedy, Fantasy, Romance",92,Hong Kong,"Cantonese, Mandarin","David Lai, Corey Yuen","Kin Chung Chan, Kwong-Kim Yip",Teamwork Production House,"Andy Lau, Rosamund Kwan, Adam Chung-Tai Chan, Stone Chan, Hin-Cheung Choi, Ping Han, Won-jin Kim, Miu Ting Kong, Shirley Kwan, Chi-lam Lai, Chien Li, Richard Ng, Asuka Tamami, Wai Leung Wong, Corey Yuen","Andy was a guy in a nameless place, presumable future. He knew anyone who got the ice on a mountain would get the money from the king. He and his friends (his master and a kid) went to the ...",4.9,169,,,,,3.0,1.0,40,jiu er shen diao zhi: chi xin qing chang jian
tt0104643,Krvavý román,Krvavý román,1993,1993-05-06,"Adventure, Comedy, Fantasy",99,Czechoslovakia,Czech,Jaroslav Brabec,"Josef Váchal, Jaroslav Brabec",Ceská Televize,"Ondrej Pavelka, Klára Jirsáková, Raoul Schránil, Jakub Saic, Vladimír Marek, Veronika Freimanová, Jirina Jelenská, Rudolf Hrusínský, Barbora Leichnerová, Pavel Pípal, Jaromír Dulava, Barbora Hrzánová, Martin Dejdar, Jitka Asterová, Katerina Frýbová","The film is based on the book of the same title (A Sanguinary Novel) by the very individual Czech painter, typographer, author and philosopher Josef Vachal, who squeezed adventure, love, ...",6.7,100,,,,,2.0,2.0,31,krvavý román
tt0104719,Liu chai III: Dang cho wo seung,Liu chai III: Dang cho wo seung,1992,1992-03-05,"Drama, Fantasy",94,Hong Kong,Cantonese,Kai-Ming Lai,Gen'ichi Rikuta,Film Workshop,"Pauline Chan, Tak-Bun Wong, Fui-On Shing, King-Man Chik, Ching-Wah Cheung, Rena Otomo, Ka-Kui Ho, Aki Tanzawa, Sau-Kei Lee, Seng-Kwong Chang, Wai-Man Tam, Yiu King Lee, Jack Wai-Leung Wong",A man is drawn into the world of the afterlife where he falls for a powerful woman.,5.1,165,,,,,2.0,2.0,17,liu chai iii: dang cho wo seung
tt0104759,The Lost World,The Lost World,1992,1992-02-09,"Adventure, Fantasy, Sci-Fi",99,"Canada, USA",English,Timothy Bond,"Arthur Conan Doyle, Tim Kirk",,"John Rhys-Davies, David Warner, Eric McCormack, Nathania Stanford, Darren Peter Mercer, Tamara Gorski, Sala Came, Tamati Patuwai, Fidelis Cheza, John Chinosiyani, Innocent Choda, Brian Cooper, Charles David, Kate Egan, Mike Grey","Two rivaling professors - a journalist, a young wealthy woman and a teenage boy - travel through Africa in search of ""The Lost World"", a place where dinosaurs still roam.",5.4,1014,,,,,18.0,5.0,30,the lost world
tt0104855,Merlin,Merlin,1993,1993-06-01,"Action, Adventure, Fantasy",115,"UK, Slovakia",English,Paul Hunt,"Paul Hunt, Nick McCarty",October 32nd Productions Limited,"Nadia Cameron-Blakey, Rodney Wood, Richard Lynch, Peter Phelps, James Hong, John Ireland, Desmond Llewelyn, Robert Padilla, Zuzana Kzerska, Gary Graver, Chris Tulloch, Pamela Mandell, Ivona Krajcovicová, Carmine J. Limone, Gordon Sterne","Reincarnated Lady of the Lake and knight John Pope must stop evil immortal wizard Pendragon from obtaining Merlin's Sword in the Stone on Halloween in the present, which would create October 32nd and end time. Wizard Leong helps them.",3.8,180,,,,,1.0,4.0,39,merlin
tt0104860,Mi nismo andjeli,Mi nismo andjeli,1992,1992-05-30,"Comedy, Fantasy, Romance",98,Federal Republic of Yugoslavia,Serbian,Srdjan Dragojevic,Srdjan Dragojevic,Avala Film,"Nikola Kojo, Milena Pavlovic, Branka Katic, Srdjan 'Zika' Todorovic, Uros Djuric, Sonja Savic, Zoran Cvijanovic, Predrag 'Miki' Manojlovic, Bogdan Diklic, Stanislava Pesic, Eva Ras, Bojan Zirovic, Vesna Trivalic, Slobodan 'Boda' Ninkovic, Nikola Pejakovic",Angel and the devil fight for the soul of a Belgrade playboy who made a young girl pregnant.,8.4,7963,,,,,6.0,,18,mi nismo andjeli
