imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0101591,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991,1991-04-12,"Comedy, Horror, Sci-Fi",90,USA,English,Eric Louzil,"Lloyd Kaufman, Carl Morano",Troma Entertainment,"Brick Bronsky, Lisa Gaye, Leesa Rowland, Michael Kurtz, Scott Resnick, Jacki Moen, Robert Dawson, Phil Rivo, Erica Frank, Sharon E. Gardner, Bea Lindgren, Lorraine Parchment, Troy Fromin, Tyler Bowe, Paul Borghese","When school reporter Roger Smith meets a beautiful subhumanoid named Victoria, they fall in love but becomes determined to save her and the new school from a giant mutant squirrel, Tromie.",4.5,1905,,,,,19.0,20.0,31,class of nuke 'em high part ii: subhumanoid meltdown
tt0101627,Critters 3,Critters 3,1991,1992-01-24,"Comedy, Horror, Sci-Fi",86,USA,English,Kristine Peterson,"Charles Chiodo, Edward Chiodo",New Line Cinema,"John Calvin, Aimee Brooks, Christian Cousins, Joseph Cousins, William Dennis Hunt, Nina Axelrod, Leonardo DiCaprio, Don Keith Opper, Geoffrey Blake, José Luis Valansuela, Diana Bellamy, Katherine Cortez, Frances Bay, Bill Zuckert, Terrence Mann",The tiny fur ball aliens that will eat anything or anyone set their sights on a Los Angeles apartment tower.,4.4,10753,,,,,51.0,48.0,20,critters 3
tt0101628,Critters 4,Critters 4,1992,1992-10-14,"Horror, Sci-Fi",87,USA,English,Rupert Harvey,"Rupert Harvey, Barry Opper",New Line Cinema,"Don Keith Opper, Terrence Mann, Paul Whitthorne, Anders Hove, Angela Bassett, Brad Dourif, Eric DaRe, Martine Beswick, Anne Ramsay","After being cryogenically frozen and waking up on a space station in the near future, the Critters aim to have the unwitting crew for lunch.",4.1,6649,,,,,65.0,43.0,25,critters 4
tt0101831,Priorità assoluta,Eve of Destruction,1991,1992-04-30,"Action, Sci-Fi, Thriller",99,USA,English,Duncan Gibbins,"Duncan Gibbins, Yale Udoff",Nelson Entertainment,"Gregory Hines, Renée Soutendijk, Michael Greene, Kurt Fuller, John M. Jackson, Loren Haynes, Nelson Mashita, Alan Haufrect, Maryedith Burrell, Norman Merrill, Craig Hensley, Greg Collins, Eddie Matthews, Tom Morga, Tim Russ","A terrorist hunter is hired by a scientist to deactivate her android double, a walking, talking, murderous nuclear bomb which has gone amok in the big city and is about to explode.",4.9,1978,$ 13000000,$ 5451119,$ 5451119,,21.0,35.0,32,eve of destruction
tt0101876,L'ultima sfida,The Final Sanction,1990,1990-11-30,"Action, Sci-Fi",85,USA,English,David A. Prior,David A. Prior,,"Ted Prior, Robert Z'Dar, Renée Cline, William Smith, David Fawcett, Barry Silverman, Graham Timbes, Tracy Benedict, Stephen R. James, Charlie Steadham, Terrance Hart, Ron Smith, Lou Dixon, Chris Brown, Lee Turner","After war breaks out between the U.S. and Russia, the two countries decide to settle the conflict by putting its two best warriors into an arena in a fight to the death.",4.3,136,$ 150000,,,,5.0,10.0,32,the final sanction
tt0101931,Future Kick,Future Kick,1991,1991-11-19,"Action, Sci-Fi",76,USA,English,Damian Klaus,"Catherine Cyran, Damian Klaus",Concorde-New Horizons,"Don Wilson, Meg Foster, Chris Penn, Eb Lottimer, Al Ruscio, Jeff Pomerantz, Linda Dona, Shawn Phillips, Ryan MacDonald, Hayden Conner, Dana Lee, Joe Mays, William Utay, Fred Scott, Brenda Bolte","On Earth in the future, Don ""The Dragon"" Wilson takes on a sinister corporation that trades in black market human body parts. He single handedly manages to restore law and order in a motion...",4.1,372,,,,,9.0,17.0,34,future kick
tt0101988,Guyver,Guyver,1991,1992-06-03,"Action, Comedy, Sci-Fi",88,"USA, Japan",English,"Screaming Mad George, Steve Wang","Jon Purdy, Yoshiki Takaya",,"Greg Joung Paik, Jimmie Walker, Peter Spellos, Michael Berryman, Spice Williams-Crosby, Mark Hamill, Jack Armstrong, Johnnie Saiko, Vivian Wu, Deborah Anne Gorman, Danny Gibson, Willard E. Pugh, David Gale, 'Evil' Ted Smith, Doug Simpson","A young man discovers a mechanical device that merges with his own body, turning him into a cyborg superhero. When strange creatures start appearing, trying to take the device back, he ...",5.0,4680,,,,,52.0,53.0,32,guyver
tt0102181,Delitti e segreti,Kafka,1991,1991-11-15,"Drama, Mystery, Sci-Fi",98,"France, USA",English,Steven Soderbergh,Lem Dobbs,Baltimore Pictures,"Jeremy Irons, Theresa Russell, Joel Grey, Ian Holm, Jeroen Krabbé, Armin Mueller-Stahl, Alec Guinness, Brian Glover, Keith Allen, Simon McBurney, Robert Flemyng, Matyelok Gibbs, Ion Caramitru, Hilde Van Mieghem, Jan Nemejovský","Kafka works during the day at an insurance company, where events lead him to discover a mysterious underground society with strange suppressive goals.",6.9,9368,$ 11000000,$ 1059071,$ 1059071,46.0,54.0,36.0,23,kafka
tt0102187,Karate Cop,Karate Cop,1991,1991-12-31,"Action, Sci-Fi",90,USA,English,Alan Roberts,"Denny Grayson, Ronald L. Marchini",Romarc,"Ronald L. Marchini, Carrie Chambers, Michael E. Bristow, D.W. Landingham, Michael M. Foley, Dana Bentley, Dax Nicholas, David Carradine, Vibbe Haugaard, Warren Reed, Mark Christensen, Ernest C. Day III, Craig Pryor, Don Bartolo, Frank O. Montelongo",John Travis is the last honest cop in a future dominated by terroristic martial-arts gangs who fight gladiator-style in arenas.,2.7,607,,,,,13.0,17.0,20,karate cop
tt0102272,The Last Island,The Last Island,1990,1990-11-16,"Drama, Sci-Fi",115,Netherlands,"Dutch, English",Marleen Gorris,Marleen Gorris,First Floor Features,"Paul Freeman, Shelagh McLeod, Patricia Hayes, Kenneth Colley, Mark Hembrow, Marc Berman, Ian Tracey","Five men and two women, marooned survivors of an air crash, discover that they may be the only survivors of a world disaster.",6.3,121,,,,,2.0,2.0,23,the last island
